"x","response"
0,1.0603192838865
1,7.37546498633312
2,10.9465570813849
3,19.6929212032067
4,22.894261657723
5,26.269297423823
6,33.3311435786427
7,38.8074870576938
8,43.6636720274802
9,47.4419174192655
10,55.2676717526763
0,2.58476485461715
1,6.16813912918729
2,8.87795016923375
3,18.9873963772147
4,22.3325995864772
5,27.4757146053516
6,34.0157543160279
7,38.9318317926471
8,43.6908519818263
9,49.2784660574123
10,54.1732044510966
0,2.11184747504779
1,4.11597245620494
2,13.1297386218421
3,17.2158068907065
4,22.166306739942
5,25.2938714241511
6,31.8827749173371
7,38.3269123402996
8,44.8380193272936
9,47.7458184089855
10,53.5815074173391
0,1.91929243912564
1,5.03441066475709
2,11.5775081550505
3,16.7085650694345
4,22.3110299049332
5,29.1500380579758
6,33.7447636226863
7,37.4532146056196
8,42.4199574797952
9,48.9454450631071
10,53.8349947980105
